	metric	pseudo_f	p_value	variable	iteration	subset	analysis_type	partial_R2	formula
593	rpca	0.539160925089915	0.609	DX_MDD	1		adonis	0.0007867765725726	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
594	rpca	13.5869788542974	0.001	Gender	1		adonis	0.0198269499089123	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
595	rpca	3.23861500992526	0.035	InBody_BMI	1		adonis	0.0047259849496071	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
596	rpca	0.617122729359456	0.577	N05B_Anxiolytics	1		adonis	0.0009005432019783	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
597	rpca	8.25115668231756	0.001	N06A_Antidepressants	1		adonis	0.0120405920981583	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
598	rpca	4.83728377988925	0.005	cobre	1		adonis	0.0070588601209696	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
599	rpca	3.20840836447535	0.046	Age	1		adonis	0.0046813074500728	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
600	rpca	0.622406103092012	0.549	DX_ANX	1		adonis	0.0009081369939178	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
601	rpca	13.5887148212831	0.001	Gender	1		adonis	0.0198269499089123	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
602	rpca	3.23902879792013	0.039	InBody_BMI	1		adonis	0.0047259849496071	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
603	rpca	0.617201577254619	0.522	N05B_Anxiolytics	1		adonis	0.0009005432019783	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
604	rpca	8.25221090752448	0.001	N06A_Antidepressants	1		adonis	0.0120405920981583	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
605	rpca	4.83790182493313	0.003	cobre	1		adonis	0.0070588601209696	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
606	uwuf	2.90055148227537	0.001	Age	2		adonis	0.0042969837707599	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
607	uwuf	3.42480816127621	0.001	Gender	2		adonis	0.0050736369193577	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
608	uwuf	1.61734457159224	0.034	GroupAssignment	2		adonis	0.0023959938026705	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
609	uwuf	2.10809358596194	0.008	InBody_BMI	2		adonis	0.0031230074630551	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
610	uwuf	2.57398983159471	0.003	N05B_Anxiolytics	2		adonis	0.0038132033166972	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
611	uwuf	7.19082235488721	0.001	N06A_Antidepressants	2		adonis	0.0106527490190001	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
612	uwuf	4.20473847474369	0.001	cobre	2		adonis	0.0062290544045404	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
613	uwuf	2.90105215655088	0.001	Age	2		adonis	0.0042969837707599	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
614	uwuf	1.72999512034916	0.024	DX_MDD	2		adonis	0.0025624361626343	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
615	uwuf	3.42539932931972	0.001	Gender	2		adonis	0.0050736369193577	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
616	uwuf	2.10845747132488	0.004	InBody_BMI	2		adonis	0.0031230074630551	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
617	uwuf	2.57443413692836	0.002	N05B_Anxiolytics	2		adonis	0.0038132033166972	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
618	uwuf	7.19206358773373	0.001	N06A_Antidepressants	2		adonis	0.0106527490190001	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
619	uwuf	4.20546426927014	0.001	cobre	2		adonis	0.0062290544045404	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
620	uwuf	2.89990657084544	0.001	Age	2		adonis	0.0042969837707599	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
621	uwuf	1.47224099820007	0.062	DX_ANX	2		adonis	0.0021815170666235	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
622	uwuf	3.42404668610777	0.001	Gender	2		adonis	0.0050736369193577	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
623	uwuf	2.10762487038931	0.011	InBody_BMI	2		adonis	0.0031230074630551	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
624	uwuf	2.57341752819893	0.002	N05B_Anxiolytics	2		adonis	0.0038132033166972	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
625	uwuf	7.18922354047015	0.001	N06A_Antidepressants	2		adonis	0.0106527490190001	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
626	uwuf	4.20380358911287	0.001	cobre	2		adonis	0.0062290544045404	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
627	wuf	8.3714694951763	0.001	Age	2		adonis	0.0123501469342495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
628	wuf	3.73456051466407	0.007	Gender	2		adonis	0.0055094713201217	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
629	wuf	0.438783179500589	0.857	GroupAssignment	2		adonis	0.0006473220433081	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
630	wuf	1.40113342208211	0.22	InBody_BMI	2		adonis	0.0020670449372326	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
631	wuf	1.0278893231082	0.367	N05B_Anxiolytics	2		adonis	0.0015164104915925	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
632	wuf	5.97998530195648	0.001	N06A_Antidepressants	2		adonis	0.0088220708665748	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
633	wuf	5.88989509699693	0.002	cobre	2		adonis	0.0086891638220914	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
634	wuf	8.37227433792168	0.001	Age	2		adonis	0.0123501469342495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
635	wuf	0.501413256454949	0.793	DX_MDD	2		adonis	0.0007396469754879	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
636	wuf	3.73491955962495	0.004	Gender	2		adonis	0.0055094713201217	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
637	wuf	1.40126812866747	0.207	InBody_BMI	2		adonis	0.0020670449372326	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
638	wuf	1.02798814557482	0.366	N05B_Anxiolytics	2		adonis	0.0015164104915925	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
639	wuf	5.98056022464963	0.001	N06A_Antidepressants	2		adonis	0.0088220708665748	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
640	wuf	5.89046135831373	0.001	cobre	2		adonis	0.0086891638220914	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
641	wuf	8.38535629182636	0.001	Age	2		adonis	0.0123501469342495	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
642	wuf	1.51940563380131	0.178	DX_ANX	2		adonis	0.0022378158037797	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
643	wuf	3.74075549422822	0.009	Gender	2		adonis	0.0055094713201217	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
644	wuf	1.4034576561874	0.227	InBody_BMI	2		adonis	0.0020670449372326	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
645	wuf	1.02959441084901	0.354	N05B_Anxiolytics	2		adonis	0.0015164104915925	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
646	wuf	5.98990504662096	0.001	N06A_Antidepressants	2		adonis	0.0088220708665748	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
647	wuf	5.89966539784427	0.001	cobre	2		adonis	0.0086891638220914	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
648	rpca	4.15691444387267	0.01	Age	2		adonis	0.0060410421333526	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
649	rpca	14.2319565082135	0.001	Gender	2		adonis	0.020682612083318	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
650	rpca	0.374365868735057	0.731	GroupAssignment	2		adonis	0.000544047758705	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
651	rpca	3.29972093413682	0.027	InBody_BMI	2		adonis	0.0047953243831633	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
652	rpca	0.676539303108163	0.531	N05B_Anxiolytics	2		adonis	0.0009831817541902	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
653	rpca	8.94824443029488	0.001	N06A_Antidepressants	2		adonis	0.0130040496028562	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
654	rpca	5.42440077303737	0.006	cobre	2		adonis	0.0078830185370813	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
655	rpca	4.15808230851786	0.016	Age	2		adonis	0.0060410421333526	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
656	rpca	0.557366289590062	0.605	DX_MDD	2		adonis	0.0008097658942985	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
657	rpca	14.2359549063192	0.001	Gender	2		adonis	0.020682612083318	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
658	rpca	3.30064797448611	0.039	InBody_BMI	2		adonis	0.0047953243831633	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
659	rpca	0.676729373494228	0.519	N05B_Anxiolytics	2		adonis	0.0009831817541902	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
660	rpca	8.95075839550822	0.001	N06A_Antidepressants	2		adonis	0.0130040496028562	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
661	rpca	5.42592473172591	0.003	cobre	2		adonis	0.0078830185370813	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
662	rpca	4.15929377126021	0.014	Age	2		adonis	0.0060410421333526	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
663	rpca	0.747198384097827	0.449	DX_ANX	2		adonis	0.0010852459981302	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
664	rpca	14.2401025704804	0.001	Gender	2		adonis	0.020682612083318	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
665	rpca	3.30160962260897	0.039	InBody_BMI	2		adonis	0.0047953243831633	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
666	rpca	0.676926539486099	0.507	N05B_Anxiolytics	2		adonis	0.0009831817541902	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
667	rpca	8.95336621072383	0.001	N06A_Antidepressants	2		adonis	0.0130040496028562	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
668	rpca	5.4275055820236	0.005	cobre	2		adonis	0.0078830185370813	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
669	uwuf	2.87484305184749	0.001	Age	3		adonis	0.0042565698980229	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
670	uwuf	3.28832496892542	0.001	Gender	3		adonis	0.0048687823387958	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
671	uwuf	1.83643584382878	0.017	GroupAssignment	3		adonis	0.0027190762735615	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
672	uwuf	2.17733027167465	0.004	InBody_BMI	3		adonis	0.003223813726634	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
673	uwuf	2.6336566006133	0.002	N05B_Anxiolytics	3		adonis	0.0038994627552609	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
674	uwuf	7.51363350390532	0.001	N06A_Antidepressants	3		adonis	0.0111248877315047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
675	uwuf	4.0653783551343	0.001	cobre	3		adonis	0.0060193084695242	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
676	uwuf	2.87474278726707	0.002	Age	3		adonis	0.0042565698980229	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
677	uwuf	1.81366716736959	0.017	DX_MDD	3		adonis	0.0026854580186622	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
678	uwuf	3.28821028352614	0.001	Gender	3		adonis	0.0048687823387958	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
679	uwuf	2.17725433392703	0.006	InBody_BMI	3		adonis	0.003223813726634	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
680	uwuf	2.63356474778194	0.001	N05B_Anxiolytics	3		adonis	0.0038994627552609	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
681	uwuf	7.51337145436138	0.001	N06A_Antidepressants	3		adonis	0.0111248877315047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
682	uwuf	4.06523656880105	0.001	cobre	3		adonis	0.0060193084695242	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
683	uwuf	2.87309512012155	0.001	Age	3		adonis	0.0042565698980229	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
684	uwuf	1.43950512535811	0.079	DX_ANX	3		adonis	0.0021326666638136	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
685	uwuf	3.28632563628892	0.001	Gender	3		adonis	0.0048687823387958	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
686	uwuf	2.17600643430646	0.004	InBody_BMI	3		adonis	0.003223813726634	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
687	uwuf	2.63205531252751	0.001	N05B_Anxiolytics	3		adonis	0.0038994627552609	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
688	uwuf	7.50906514377515	0.001	N06A_Antidepressants	3		adonis	0.0111248877315047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
689	uwuf	4.06290656670039	0.001	cobre	3		adonis	0.0060193084695242	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
690	wuf	8.41737959110953	0.001	Age	3		adonis	0.0124180512712126	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
691	wuf	3.73927127512132	0.005	Gender	3		adonis	0.0055164985621503	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
692	wuf	0.439093407031614	0.844	GroupAssignment	3		adonis	0.0006477888257681	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
693	wuf	1.38570517817934	0.194	InBody_BMI	3		adonis	0.0020443129317336	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
694	wuf	1.04541134501981	0.381	N05B_Anxiolytics	3		adonis	0.0015422818397871	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
695	wuf	5.97275317938976	0.001	N06A_Antidepressants	3		adonis	0.0088115255358447	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
696	wuf	5.83456525825941	0.001	cobre	3		adonis	0.0086076586826175	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
697	wuf	8.41821797613235	0.001	Age	3		adonis	0.0124180512712126	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
698	wuf	0.503977825428423	0.767	DX_MDD	3		adonis	0.0007434379215967	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
699	wuf	3.73964371276648	0.005	Gender	3		adonis	0.0055164985621503	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
700	wuf	1.38584319672238	0.196	InBody_BMI	3		adonis	0.0020443129317336	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
701	wuf	1.04551546973046	0.351	N05B_Anxiolytics	3		adonis	0.0015422818397871	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
702	wuf	5.97334807555149	0.001	N06A_Antidepressants	3		adonis	0.0088115255358447	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
703	wuf	5.83514639067411	0.001	cobre	3		adonis	0.0086076586826175	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
704	wuf	8.43172336514491	0.001	Age	3		adonis	0.0124180512712126	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
705	wuf	1.54918890082589	0.166	DX_ANX	3		adonis	0.0022816103382583	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
706	wuf	3.74564324179418	0.005	Gender	3		adonis	0.0055164985621503	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
707	wuf	1.38806651186286	0.195	InBody_BMI	3		adonis	0.0020443129317336	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
708	wuf	1.04719279540407	0.34	N05B_Anxiolytics	3		adonis	0.0015422818397871	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
709	wuf	5.98293114760979	0.001	N06A_Antidepressants	3		adonis	0.0088115255358447	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
710	wuf	5.84450774508127	0.001	cobre	3		adonis	0.0086076586826175	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
711	rpca	3.85518647779702	0.018	Age	3		adonis	0.0055949807557417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
712	rpca	12.8619585793665	0.001	Gender	3		adonis	0.0186663890701922	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
713	rpca	0.470313355511426	0.676	GroupAssignment	3		adonis	0.000682559504815	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
714	rpca	3.45410545148126	0.016	InBody_BMI	3		adonis	0.0050128972076037	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
715	rpca	1.40860332222671	0.229	N05B_Anxiolytics	3		adonis	0.0020442872285741	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
716	rpca	10.8553996720137	0.001	N06A_Antidepressants	3		adonis	0.015754296870098	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
717	rpca	5.13817539946798	0.008	cobre	3		adonis	0.0074569654788985	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
718	rpca	3.85671674331773	0.016	Age	3		adonis	0.0055949807557417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
719	rpca	0.728905920108298	0.484	DX_MDD	3		adonis	0.0010574317138582	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
720	rpca	12.8670639645032	0.001	Gender	3		adonis	0.0186663890701922	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
721	rpca	3.45547651316861	0.035	InBody_BMI	3		adonis	0.0050128972076037	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
722	rpca	1.40916244877189	0.246	N05B_Anxiolytics	3		adonis	0.0020442872285741	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
723	rpca	10.8597085800074	0.001	N06A_Antidepressants	3		adonis	0.015754296870098	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
724	rpca	5.14021493055122	0.004	cobre	3		adonis	0.0074569654788985	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
725	rpca	3.85678388483953	0.027	Age	3		adonis	0.0055949807557417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
726	rpca	0.740251858495219	0.495	DX_ANX	3		adonis	0.001073872694543	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
727	rpca	12.8672879670196	0.001	Gender	3		adonis	0.0186663890701922	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
728	rpca	3.45553666950548	0.024	InBody_BMI	3		adonis	0.0050128972076037	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
729	rpca	1.40918698085905	0.277	N05B_Anxiolytics	3		adonis	0.0020442872285741	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
730	rpca	10.8598976365052	0.001	N06A_Antidepressants	3		adonis	0.015754296870098	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
731	rpca	5.140304416473	0.003	cobre	3		adonis	0.0074569654788985	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
732	uwuf	2.80227075132884	0.001	Age	4		adonis	0.0041510896212692	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
733	uwuf	3.40185112684623	0.001	Gender	4		adonis	0.0050392664231527	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
734	uwuf	1.94499225601096	0.01	GroupAssignment	4		adonis	0.0028811766898496	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
735	uwuf	2.15271902857127	0.005	InBody_BMI	4		adonis	0.0031888887298892	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
736	uwuf	2.6142098990287	0.001	N05B_Anxiolytics	4		adonis	0.0038725093121467	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
737	uwuf	7.07234403026289	0.001	N06A_Antidepressants	4		adonis	0.0104764801503024	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
738	uwuf	4.08033148503539	0.001	cobre	4		adonis	0.0060443201895592	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
739	uwuf	2.80182986450695	0.001	Age	4		adonis	0.0041510896212692	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
740	uwuf	1.8422631237997	0.013	DX_MDD	4		adonis	0.0027294303018637	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
741	uwuf	3.40131590685325	0.001	Gender	4		adonis	0.0050392664231527	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
742	uwuf	2.15238033701176	0.009	InBody_BMI	4		adonis	0.0031888887298892	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
743	uwuf	2.61379860019414	0.002	N05B_Anxiolytics	4		adonis	0.0038725093121467	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
744	uwuf	7.07123132433277	0.001	N06A_Antidepressants	4		adonis	0.0104764801503024	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
745	uwuf	4.07968951838037	0.001	cobre	4		adonis	0.0060443201895592	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
746	uwuf	2.80052969921284	0.001	Age	4		adonis	0.0041510896212692	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
747	uwuf	1.53931722983408	0.04	DX_ANX	4		adonis	0.0022816554234012	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
